Mês		B_FI	COOP	B_FC	COOP	B_MC	COOP	B_SC	COOP	M_FC	COOP	M_MC	COOP	M_SC	COOP	A_MC	COOP	A_SC	COOP
Fev		277.02	12	482.84	26	880.92	40	265.48	30	158.40	7	587.13	35	887.22	50	46.36	1	229.25	7

Mar		219.18	18	477.24	28	933.84	34	255.72	31	140.80	8	595.65	34	909.00	47	54.75	0	220.59	9

Abr		248.10	15	474.21	31	828.00	46	324.04	24	105.60	10	553.02	39	887.22	50	29.58	3	224.92	8

Mai		316.27	8	629.98	6	1106.49	9	490.24	12	267.12	2	805.92	16	1200.90	20	37.16	2	241.86	2

Jun		305.64	9	620.12	6	1034.49	17	490.24	12	286.20	1	728.64	22	1173.00	23	48.88	1	265.30	0

Jul		295.01	10	689.14	6	1115.49	8	509.06	10	152.64	8	818.80	15	1266.00	13	37.16	2	253.58	1

Ago		337.53	6	595.46	10	1115.49	8	490.24	12	267.12	2	818.80	15	1182.30	22	37.16	2	241.86	2

Set		316.27	8	612.72	8	1124.49	7	480.83	13	267.12	2	818.80	15	1200.90	20	48.88	1	265.30	0

Out		199.90	20	555.35	25	898.56	38	314.28	25	52.80	13	595.65	34	901.74	48	46.36	1	203.27	13

Nov		238.46	16	498.69	28	898.56	38	314.28	25	105.60	10	553.02	39	865.44	53	37.97	2	220.59	9

Dez		277.02	12	522.71	29	933.84	34	294.76	27	52.80	13	570.07	37	909.00	47	37.97	2	207.60	12

Jan		238.46	16	447.17	33	960.30	31	294.76	27	123.20	9	629.75	30	872.70	52	37.97	2	220.59	9

Fev		228.82	17	487.50	32	898.56	38	343.56	22	70.40	12	604.17	33	858.18	54	37.97	2	207.60	12

Mar		199.90	20	466.05	32	898.56	38	304.52	26	105.60	10	595.65	34	894.48	49	46.36	1	220.59	9

Abr		257.74	14	528.30	27	925.02	35	294.76	27	70.40	12	578.60	36	872.70	52	29.58	3	216.26	10

Mai		305.64	9	621.35	7	1142.49	5	490.24	12	267.12	2	818.80	15	1266.00	13	37.16	2	265.30	0

Jun		337.53	6	665.73	3	1088.49	11	462.01	15	248.04	3	857.44	12	1228.80	17	37.16	2	230.14	3

Jul		326.90	7	658.33	5	1151.49	4	462.01	15	228.96	4	857.44	12	1210.20	19	37.16	2	253.58	1

Ago		305.64	9	618.89	5	1142.49	5	462.01	15	305.28	0	767.28	19	1228.80	17	37.16	2	241.86	2

Set		348.16	5	668.19	5	1133.49	6	462.01	15	209.88	5	870.32	11	1173.00	23	37.16	2	218.42	4

Out		238.46	16	490.07	33	925.02	35	314.28	25	52.80	13	595.65	34	843.66	56	37.97	2	224.92	8

Nov		248.10	15	471.65	30	828.00	46	333.80	23	123.20	9	604.17	33	887.22	50	46.36	1	220.59	9

Dez		248.10	15	520.14	28	960.30	31	304.52	26	70.40	12	553.02	39	887.22	50	37.97	2	211.93	11

Jan		219.18	18	466.05	32	925.02	35	275.24	29	105.60	10	612.70	32	930.78	44	37.97	2	211.93	11

Fev		248.10	15	471.65	30	836.82	45	285.00	28	123.20	9	587.12	35	887.22	50	29.58	3	211.93	11

Mar		219.18	18	476.78	32	925.02	35	265.48	30	88.00	11	604.17	33	909.00	47	54.75	0	220.59	9

Abr		238.46	16	506.39	31	925.02	35	314.28	25	52.80	13	587.12	35	901.74	48	37.97	2	220.59	9

Mai		316.27	8	664.50	2	1079.49	12	452.60	16	267.12	2	793.04	17	1293.90	10	48.88	1	206.70	5

Jun		295.01	10	639.84	6	1133.49	6	471.42	14	248.04	3	805.92	16	1238.10	16	25.44	3	253.58	1

Jul		295.01	10	639.84	6	1097.49	10	490.24	12	248.04	3	754.40	20	1210.20	19	25.44	3	230.14	3

Ago		326.90	7	676.82	4	1124.49	7	471.42	14	209.88	5	818.80	15	1200.90	20	37.16	2	253.58	1

Set		326.90	7	666.96	4	1133.49	6	499.65	11	228.96	4	767.28	19	1219.50	18	48.88	1	241.86	2

Out		257.74	14	457.89	33	925.02	35	245.96	32	105.60	10	578.60	36	843.66	56	46.36	1	211.93	11

Nov		219.18	18	452.76	31	960.30	31	314.28	25	140.80	8	621.22	31	872.70	52	37.97	2	203.27	13

Dez		248.10	15	474.21	31	898.56	38	265.48	30	105.60	10	595.65	34	901.74	48	37.97	2	203.27	13

Jan		248.10	15	493.56	26	880.92	40	294.76	27	140.80	8	587.13	35	829.14	58	54.75	0	220.59	9

Fev		248.10	15	455.33	32	889.74	39	265.48	30	123.20	9	561.55	38	916.26	46	46.36	1	233.58	6

Mar		228.82	17	474.21	31	916.20	36	275.24	29	105.60	10	587.12	35	887.22	50	37.97	2	216.26	10

Abr		248.10	15	517.58	27	872.10	41	324.04	24	88.00	11	612.70	32	901.74	48	37.97	2	211.93	11

Mai		295.01	10	629.98	6	1088.49	11	480.83	13	267.12	2	767.28	19	1228.80	17	37.16	2	253.58	1

Jun		316.27	8	586.83	11	1097.49	10	490.24	12	267.12	2	883.20	10	1173.00	23	25.44	3	265.30	0

Jul		326.90	7	575.74	10	1133.49	6	424.37	19	305.28	0	857.44	12	1200.90	20	48.88	1	253.58	1

Ago		348.16	5	622.58	8	1142.49	5	405.55	21	248.04	3	844.56	13	1154.40	25	37.16	2	241.86	2

Set		273.75	12	642.30	8	1142.49	5	490.24	12	209.88	5	883.20	10	1210.20	19	37.16	2	265.30	0

Out		257.74	14	447.17	33	898.56	38	294.76	27	123.20	9	604.17	33	894.48	49	46.36	1	220.59	9

Nov		238.46	16	414.99	33	916.20	36	265.48	30	176.00	6	604.17	33	887.22	50	37.97	2	216.26	10

Dez		219.18	18	493.56	26	907.38	37	304.52	26	140.80	8	578.60	36	894.48	49	37.97	2	207.60	12

Jan		257.74	14	493.10	30	889.74	39	314.28	25	88.00	11	604.18	33	879.96	51	46.36	1	211.93	11

Fev		257.74	14	463.49	31	969.12	30	294.76	27	123.20	9	595.65	34	894.48	49	54.75	0	216.26	10

Mar		257.74	14	474.21	31	898.56	38	333.80	23	105.60	10	578.60	36	858.18	54	46.36	1	216.26	10

Abr		209.54	19	511.52	33	880.92	40	285.00	28	17.60	15	587.12	35	879.96	51	46.36	1	198.94	14

Mai		326.90	7	657.10	4	1124.49	7	443.19	17	248.04	3	844.56	13	1154.40	25	37.16	2	230.14	3

Jun		358.79	4	647.24	4	1133.49	6	518.47	9	267.12	2	741.52	21	1228.80	17	37.16	2	265.30	0

Jul		305.64	9	666.96	4	1151.49	4	471.42	14	228.96	4	831.68	14	1191.60	21	48.88	1	253.58	1

Ago		295.01	10	648.47	5	1133.49	6	433.78	18	248.04	3	921.84	7	1210.20	19	25.44	3	265.30	0

Set		273.75	12	604.09	9	1115.49	8	471.42	14	267.12	2	870.32	11	1200.90	20	48.88	1	253.58	1

Out		248.10	15	503.82	30	907.38	37	304.52	26	70.40	12	587.12	35	923.52	45	37.97	2	216.26	10

Nov		238.46	16	490.53	29	828.00	46	255.72	31	105.60	10	595.65	34	901.74	48	29.58	3	224.92	8

Dez		219.18	18	479.81	29	925.02	35	294.76	27	123.20	9	570.07	37	901.74	48	46.36	1	216.26	10

Jan		257.74	14	474.21	31	933.84	34	285.00	28	105.60	10	570.07	37	850.92	55	37.97	2	224.92	8

Fev		257.74	14	517.58	27	925.02	35	343.56	22	88.00	11	587.12	35	894.48	49	46.36	1	224.92	8

Mar		248.10	15	490.53	29	907.38	37	294.76	27	105.60	10	612.70	32	901.74	48	46.36	1	220.59	9

Abr		219.18	18	476.78	32	907.38	37	304.52	26	88.00	11	570.07	37	858.18	54	37.97	2	220.59	9

Mai		337.53	6	622.58	8	1133.49	6	443.19	17	248.04	3	831.68	14	1163.70	24	60.60	0	265.30	0

Jun		348.16	5	646.01	3	1124.49	7	424.37	19	286.20	1	870.32	11	1117.20	29	37.16	2	253.58	1

Jul		295.01	10	658.33	5	1097.49	10	462.01	15	228.96	4	857.44	12	1238.10	16	37.16	2	253.58	1

Ago		348.16	5	658.33	5	1151.49	4	433.78	18	228.96	4	754.40	20	1154.40	25	37.16	2	253.58	1

Set		295.01	10	647.24	4	1097.49	10	471.42	14	267.12	2	805.92	16	1191.60	21	48.88	1	265.30	0

Out		228.82	17	431.31	31	836.82	45	294.76	27	176.00	6	553.02	39	850.92	55	46.36	1	198.94	14

Nov		248.10	15	506.85	27	907.38	37	353.32	21	105.60	10	595.65	34	909.00	47	37.97	2	220.59	9

Dez		248.10	15	439.47	30	872.10	41	294.76	27	176.00	6	604.17	33	952.56	41	46.36	1	211.93	11

Jan		257.74	14	476.78	32	925.02	35	285.00	28	88.00	11	570.07	37	901.74	48	37.97	2	207.60	12

Fev		228.82	17	487.50	32	925.02	35	275.24	29	70.40	12	629.75	30	938.04	43	37.97	2	211.93	11

Mar		219.18	18	511.98	29	792.72	50	333.80	23	70.40	12	544.50	40	894.48	49	46.36	1	203.27	13

Abr		209.54	19	474.21	31	872.10	41	294.76	27	105.60	10	587.12	35	872.70	52	46.36	1	216.26	10

Mai		337.53	6	632.44	8	1142.49	5	424.37	19	228.96	4	831.68	14	1228.80	17	60.60	0	253.58	1

Jun		348.16	5	658.33	5	1142.49	5	424.37	19	228.96	4	793.04	17	1163.70	24	60.60	0	265.30	0

Jul		348.16	5	631.21	7	1124.49	7	443.19	17	248.04	3	831.68	14	1154.40	25	37.16	2	253.58	1

Ago		316.27	8	629.98	6	1124.49	7	452.60	16	267.12	2	818.80	15	1154.40	25	60.60	0	265.30	0

Set		295.01	10	620.12	6	1097.49	10	452.60	16	286.20	1	754.40	20	1256.70	14	37.16	2	241.86	2

Out		248.10	15	420.59	31	933.84	34	285.00	28	193.60	5	544.50	40	894.48	49	46.36	1	220.59	9

Nov		209.54	19	469.08	29	872.10	41	304.52	26	140.80	8	570.07	37	909.00	47	29.58	3	220.59	9

Dez		248.10	15	506.39	31	898.56	38	333.80	23	52.80	13	629.75	30	879.96	51	54.75	0	216.26	10

Jan		248.10	15	466.05	32	916.20	36	265.48	30	105.60	10	638.27	29	879.96	51	46.36	1	224.92	8

Fev		228.82	17	520.14	28	828.00	46	294.76	27	70.40	12	561.55	38	879.96	51	46.36	1	229.25	7

Mar		209.54	19	476.78	32	951.48	32	285.00	28	88.00	11	663.85	26	836.40	57	37.97	2	203.27	13

Abr		238.46	16	471.65	30	854.46	43	285.00	28	123.20	9	638.27	29	887.22	50	29.58	3	207.60	12

Mai		326.90	7	611.49	7	1124.49	7	518.47	9	286.20	1	831.68	14	1163.70	24	60.60	0	241.86	2

Jun		337.53	6	654.64	2	1133.49	6	424.37	19	286.20	1	818.80	15	1182.30	22	37.16	2	241.86	2

Jul		284.38	11	669.42	6	1133.49	6	490.24	12	190.80	6	883.20	10	1191.60	21	60.60	0	253.58	1

Ago		348.16	5	638.61	5	1160.49	3	480.83	13	267.12	2	793.04	17	1266.00	13	25.44	3	230.14	3

Set		348.16	5	668.19	5	1124.49	7	452.60	16	209.88	5	831.68	14	1210.20	19	48.88	1	265.30	0

Out		248.10	15	544.62	25	951.48	32	294.76	27	70.40	12	587.12	35	814.62	60	54.75	0	216.26	10

Nov		228.82	17	471.18	34	1004.40	26	314.28	25	70.40	12	535.97	41	879.96	51	46.36	1	220.59	9

Dez		209.54	19	471.65	30	960.30	31	304.52	26	123.20	9	595.65	34	901.74	48	54.75	0	220.59	9
